PRIMARY_KEY,Employer_category,employee_count,Pay,Economic_sector,TYPE_OF_CONTRACT,WORK_CONDITION,labor_force_status,WORKING_HOURS,work_description,JOB_DEP
158,NA,"tr_6",1733,"NZ","CDI","C","O",166,"676a","01"
167,"ct_8","tr_3",15216,"QB","CDI","C","O",986,"525d","01"
173,"ct_9","tr_3",17654,"HZ","CDI","C","O",1648,"621d","01"
175,"ct_8","tr_4",31097,"PZ","CDI","C","O",1820,"341a","01"
176,"ct_3","tr_6",19385,"QA","AUT","C","O",1820,"525d","69"
177,"ct_8","tr_3",18080,"QB","CDI","C","O",1821,"526a","01"
178,"ct_9","tr_5",53660,"GZ","CDI","C","O",1820,"372b","01"
181,"ct_6","tr_0",10551,"IZ","CDI","C","O",1181,"488a","01"
184,"ct_9","tr_5",19689,"HZ","CDI","C","O",1878,"521a","69"
188,"ct_9","tr_6",33845,"MA","CDI","C","O",1975,"543b","69"
189,NA,NA,2889,"OZ","CDI","N","O",151,"523c","95"
190,NA,NA,1343,"TZ","CDI","C","O",149,"563c","01"
203,"ct_9","tr_2",35899,"CH","CDI","C","O",1734,"384b","69"
209,"ct_9","tr_2",42477,"GZ","CDI","C","O",2151,"462a","01"
211,"ct_8","tr_4",8034,"QB","CDI","P","O",910,"632k","01"
219,"ct_9","tr_5",41314,"HZ","CDI","C","O",1820,"387e","01"
225,"ct_9","tr_5",23819,"QA","CDI","C","O",2188,"525d","71"
230,"ct_9","tr_5",14344,"CL","CDI","P","O",1274,"674a","01"
237,"ct_1","tr_6",15854,"OZ","AUT","C","O",1820,"531a","69"
238,"ct_9","tr_2",31510,"GZ","CDI","C","O",1399,"556a","69"
247,"ct_9","tr_3",26625,"HZ","CDI","C","O",1806,"478d","01"
251,"ct_9","tr_3",19296,"GZ","CDI","C","O",1096,"634a","01"
254,"ct_9","tr_3",32665,"CH","CDI","C","O",1366,"472c","01"
261,NA,NA,2686,"IZ","CDI","P","O",206,"561d","01"
265,NA,NA,2353,"RZ","CDI","P","O",168,"465b","01"
272,"ct_9","tr_3",22546,"NZ","CDI","C","O",1246,"433a","01"
274,"ct_9","tr_1",21140,"GZ","CDI","C","O",1809,"634c","01"
301,"ct_9","tr_0",10250,"GZ","CDI","P","O",1365,"551a","01"
302,"ct_8","tr_3",11591,"QB","CDI","C","O",1456,"526a","01"
305,"ct_9","tr_5",23319,"QA","CDI","C","O",1798,"526c","74"
312,"ct_8","tr_4",12876,"QB","CDI","P","O",1304,"525d","69"
317,"ct_9","tr_2",19386,"CH","CDI","C","O",1504,"628g","01"
324,"ct_8","tr_3",18181,"QB","CDI","C","O",1678,"526a","01"
329,"ct_6","tr_1",19521,"QA","CDI","P","O",1229,"526a","01"
331,"ct_3","tr_3",9376,"QB","AUT","C","X",1006,"525d","01"
339,"ct_9","tr_3",10565,"CG","CDI","C","O",909,"674a","01"
342,"ct_9","tr_1",18584,"GZ","CDI","C","O",1491,"462a","01"
361,"ct_8","tr_1",14401,"SZ","CDI","P","O",1324,"526d","01"
364,"ct_9","tr_2",37521,"GZ","CDI","C","O",1847,"344d","69"
369,"ct_3","tr_6",35197,"QA","AUT","C","O",2006,"431f","69"
373,"ct_9","tr_6",35681,"CK","CDI","C","O",1806,"462a","01"
380,"ct_9","tr_6",30350,"CE","CDI","C","O",913,"461b","38"
390,"ct_7","tr_0",10290,"QB","CDI","N","O",2791,"563a","01"
397,"ct_8","tr_4",31074,"PZ","CDI","C","O",1820,"341a","01"
399,"ct_9","tr_6",33210,"DZ","CDI","C","O",1459,"477c","01"
408,"ct_9","tr_0",9470,"NZ","TTP","C","O",864,"676a","04"
414,"ct_9","tr_5",15838,"QA","CDI","C","O",1040,"431f","01"
415,"ct_2","tr_6",12194,"OZ","AUT","P","O",1168,"525a","01"
420,"ct_9","tr_2",15017,"FZ","CDI","C","O",1718,"681a","01"
428,"ct_9","tr_3",24876,"GZ","CDI","C","O",1992,"634c","69"
429,"ct_3","tr_6",17777,"QA","CDI","C","O",1820,"525d","01"
442,"ct_8","tr_3",19697,"QB","CDI","C","O",1708,"526d","01"
444,"ct_9","tr_2",35322,"GZ","CDI","C","O",1775,"374d","01"
452,"ct_8","tr_2",24129,"QB","CDI","C","O",1708,"434d","01"
491,"ct_9","tr_2",23523,"GZ","CDI","C","O",1781,"461d","01"
492,"ct_9","tr_6",45240,"CI","CDI","C","O",1609,"383b","01"
497,"ct_9","tr_3",14982,"FZ","CDI","C","O",1614,"641a","71"
500,"ct_9","tr_4",17013,"GZ","CDI","C","O",1775,"634a","01"
505,"ct_9","tr_2",29449,"JC","CDI","C","O",1968,"478b","01"
508,"ct_8","tr_4",18377,"QB","CDI","C","O",1714,"525d","01"
513,"ct_8","tr_3",10382,"QB","CDI","C","O",1456,"526a","01"
516,"ct_9","tr_6",36565,"CG","CDI","C","O",1857,"484a","01"
519,"ct_8","tr_5",16493,"QB","CDI","C","O",1820,"643a","71"
527,"ct_2","tr_4",6195,"OZ","CDD","P","O",734,"525b","01"
528,"ct_9","tr_3",16295,"CM","CDI","C","O",1829,"674a","01"
539,"ct_9","tr_2",17060,"CG","CDI","C","O",1730,"475b","01"
540,"ct_9","tr_5",53006,"CC","CDI","C","O",1820,"374d","38"
541,"ct_9","tr_6",21308,"CM","CDI","C","O",979,"474a","69"
544,"ct_9","tr_4",22116,"CL","CDI","C","O",1872,"483a","01"
546,"ct_9","tr_1",19272,"HZ","CDI","C","O",1659,"656c","38"
551,"ct_9","tr_4",17543,"GZ","CDI","C","O",1775,"634a","01"
553,"ct_9","tr_2",14957,"EZ","CDI","C","O",1118,"651b","69"
556,"ct_9","tr_1",16993,"HZ","CDI","C","O",1267,"641a","01"
559,"ct_9","tr_6",35758,"GZ","CDI","C","O",1820,"374a","38"
560,"ct_9","tr_5",35412,"CH","CDI","C","O",2258,"624d","01"
562,"ct_9","tr_0",24219,"GZ","CDI","C","O",2133,"487b","01"
568,"ct_9","tr_1",32530,"GZ","CDI","C","O",1949,"634d","01"
575,"ct_9","tr_2",22304,"FZ","CDI","C","O",1804,"681b","01"
581,"ct_8","tr_3",11572,"QB","CDI","P","O",1350,"525d","39"
587,"ct_3","tr_4",18342,"QB","AUT","P","O",1554,"525d","71"
589,"ct_9","tr_2",4946,"IZ","CDI","C","O",394,"561f","01"
608,"ct_8","tr_4",11735,"QB","CDI","P","O",1269,"563b","69"
612,"ct_9","tr_1",18607,"GZ","CDI","C","O",1478,"554b","71"
618,"ct_8","tr_5",25980,"PZ","CDI","C","O",1820,"341a","69"
629,"ct_9","tr_2",14184,"GZ","CDI","C","O",1605,"652a","01"
642,"ct_9","tr_3",20404,"CH","CDI","C","O",1688,"632d","01"
649,"ct_9","tr_6",16637,"CB","CDI","C","O",1185,"625c","01"
657,"ct_9","tr_1",20327,"MA","CDI","P","O",876,"382b","01"
661,"ct_9","tr_1",32762,"GZ","CDI","C","O",1438,"382c","01"
666,"ct_9","tr_1",11053,"NZ","TTP","C","O",705,"676e","69"
670,"ct_9","tr_3",18918,"CA","CDI","C","O",1890,"674b","01"
672,"ct_9","tr_6",28935,"CJ","CDI","C","O",1643,"473b","38"
673,"ct_9","tr_5",26048,"FZ","CDI","C","O",1700,"632a","69"
675,"ct_9","tr_4",19308,"QA","CDI","C","O",1641,"526a","01"
677,"ct_8","tr_5",9722,"NZ","AUT","C","X",1114,"681a","74"
681,"ct_9","tr_2",26051,"QA","CDI","C","O",1905,"433a","01"
685,"ct_9","tr_6",27393,"QA","CDI","C","O",1820,"431f","01"
691,"ct_9","tr_0",21288,"SZ","CDI","C","O",1904,"564b","01"
694,"ct_3","tr_4",17911,"QB","CDI","C","O",1820,"525d","01"
697,"ct_9","tr_6",26597,"CK","CDI","C","O",1820,"486d","01"
701,"ct_9","tr_2",13917,"IZ","CDI","C","O",1293,"636d","03"
705,"ct_3","tr_6",8722,"QA","CDI","P","O",910,"311d","69"
710,"ct_5","tr_4",8211,"HZ","CDI","P","O",614,"642b","01"
723,"ct_9","tr_2",29794,"CL","CDI","C","O",1858,"474c","69"
728,"ct_9","tr_6",65394,"CG","CDI","C","O",1698,"385a","01"
733,"ct_9","tr_2",30085,"CA","CDI","C","O",1820,"374d","37"
740,"ct_9","tr_3",42680,"JC","CDI","C","O",1824,"388c","01"
744,"ct_9","tr_2",12451,"NZ","CDI","P","O",1090,"472a","01"
755,"ct_9","tr_6",44034,"GZ","CDI","C","O",1801,"463d","92"
767,"ct_8","tr_4",31637,"PZ","CDI","C","O",1820,"341a","01"
774,"ct_8","tr_6",12359,"QB","CDI","P","O",1167,"434f","69"
786,"ct_8","tr_6",40026,"OZ","CDI","C","O",1950,"376f","69"
793,NA,NA,1925,"GZ","CDD","C","O",169,"554a","74"
797,"ct_3","tr_6",17148,"QA","CDD","C","O",1819,"632k","01"
800,"ct_9","tr_6",21096,"CL","CDI","C","O",1914,"462e","69"
803,"ct_3","tr_4",17086,"QB","AUT","C","O",1819,"525d","01"
804,"ct_8","tr_1",28233,"PZ","CDI","C","O",1820,"421b","69"
811,"ct_9","tr_5",34866,"CM","CDI","C","O",1827,"482a","01"
825,"ct_9","tr_3",13699,"FZ","CDI","C","O",1266,"634b","01"
827,"ct_1","tr_3",58854,"PZ","AUT","C","O",1820,"341a","01"
834,"ct_9","tr_1",38654,"GZ","CDI","P","O",1638,"344d","01"
858,"ct_9","tr_1",18123,"GZ","CDI","C","O",1418,"433d","01"
860,"ct_9","tr_4",38945,"CK","CDI","C","O",2039,"474a","01"
862,"ct_9","tr_0",11685,"IZ","CDI","P","O",854,"554a","01"
863,"ct_8","tr_5",13196,"PZ","CDI","P","O",1447,"525a","01"
875,"ct_8","tr_4",6727,"QB","CDI","C","O",590,"526d","01"
877,"ct_9","tr_1",8663,"SZ","CDI","C","O",383,"562b","01"
888,"ct_8","tr_4",3332,"QB","CDI","C","O",344,"525d","01"
898,"ct_9","tr_1",9353,"CH","CDD","C","O",928,"461b","01"
905,"ct_9","tr_3",22039,"HZ","CDI","C","O",1821,"451a","01"
907,"ct_9","tr_3",12604,"CH","APP","C","A",1714,"673b","01"
912,"ct_2","tr_3",9901,"QB","CDD","C","O",1103,"526c","01"
916,"ct_9","tr_2",23691,"FZ","CDI","C","O",1677,"632c","01"
935,"ct_9","tr_3",44142,"NZ","CDI","C","O",1820,"372c","86"
936,"ct_9","tr_2",41405,"FZ","CDI","C","O",1820,"382a","01"
941,"ct_9","tr_3",16482,"NZ","CDI","C","O",1777,"465c","69"
959,"ct_8","tr_4",17222,"QB","CDI","P","O",1077,"526a","01"
967,"ct_7","tr_1",14860,"QB","CDI","N","O",3000,"563a","01"
969,"ct_9","tr_3",63658,"JC","CDI","C","O",1820,"374d","69"
974,"ct_9","tr_2",10232,"GZ","CDI","C","O",772,"543g","69"
977,"ct_9","tr_1",26549,"KZ","CDI","C","O",847,"374d","01"
984,"ct_9","tr_3",27222,"HZ","CDI","C","O",2200,"641a","69"
994,"ct_9","tr_3",6691,"QA","CDD","P","O",789,"542a","02"
998,"ct_8","tr_3",13338,"QB","CDI","C","O",1417,"551a","02"
1005,"ct_9","tr_6",17938,"GZ","CDI","C","O",1711,"551a","02"
1010,"ct_8","tr_6",9846,"QB","AUT","C","X",1820,"684b","02"
1014,"ct_9","tr_5",21085,"CH","CDI","C","O",1781,"653a","02"
1018,"ct_9","tr_6",29878,"CE","CDI","C","O",1806,"475b","59"
1028,"ct_9","tr_6",22591,"HZ","CDI","C","O",1291,"477a","77"
1034,"ct_9","tr_3",27953,"CM","CDI","C","O",2200,"477b","02"
1058,"ct_2","tr_2",65887,"OZ","CDI","C","O",2798,"333f","80"
1061,"ct_9","tr_5",39718,"LZ","CDI","C","O",1792,"461d","51"
1064,"ct_8","tr_4",27782,"QB","CDI","C","O",1820,"434f","95"
1065,"ct_9","tr_1",15176,"NZ","TTP","C","O",1463,"652a","02"
1077,"ct_2","tr_3",2457,"QB","AUT","P","X",270,"541b","02"
1078,"ct_8","tr_3",19333,"QB","CDI","P","O",1730,"525d","60"
1081,"ct_9","tr_6",28769,"KZ","CDI","C","O",1820,"467b","02"
1083,"ct_7","tr_1",4233,"QB","CDI","N","O",1398,"563a","02"
1089,"ct_8","tr_4",11523,"QB","AUT","C","O",1783,"676e","02"
1091,"ct_9","tr_4",21100,"QB","CDI","C","O",1804,"525d","02"
1099,"ct_9","tr_1",13577,"FZ","CDD","C","O",1624,"621d","02"
1102,"ct_9","tr_1",15164,"GZ","CDI","C","O",1461,"551a","02"
1112,"ct_9","tr_1",37020,"MA","CDI","C","O",1677,"461d","02"
1116,"ct_9","tr_0",4458,"CK","CDI","C","O",455,"623g","02"
1119,"ct_9","tr_1",6797,"GZ","CDI","C","O",775,"554f","02"
1126,"ct_2","tr_6",2331,"OZ","CDD","C","O",232,"524a","59"
1128,"ct_7","tr_1",8382,"QB","CDI","N","O",3000,"563a","02"
1137,"ct_7","tr_1",22425,"QB","CDI","N","O",3000,"563a","02"
1140,"ct_9","tr_1",1220,"IZ","APP","C","A",210,"561d","02"
1149,"ct_9","tr_5",7659,"NZ","CDD","C","O",759,"684a","02"
1152,"ct_9","tr_4",16441,"QB","CDI","C","O",1618,"526a","02"
1156,"ct_9","tr_4",15807,"GZ","AUT","C","X",1613,"554c","02"
1171,"ct_9","tr_5",21820,"CH","CDI","C","O",1696,"543f","60"
1174,"ct_8","tr_6",10013,"QA","CDD","P","O",1036,"563b","02"
1175,"ct_9","tr_6",33171,"KZ","CDI","C","O",1820,"467a","02"
1177,"ct_1","tr_6",38436,"RZ","CDI","C","O",2028,"333a","75"
1185,"ct_9","tr_5",29322,"GZ","CDI","C","O",1418,"385c","44"
1204,"ct_9","tr_4",13831,"QB","CDD","C","O",1294,"526a","02"
1215,"ct_9","tr_3",21431,"EZ","CDI","C","O",1742,"625h","02"
1222,"ct_9","tr_5",19587,"NZ","CDI","C","O",1438,"534a","75"
1226,"ct_9","tr_4",23269,"QB","CDI","C","O",1676,"526a","02"
1228,"ct_9","tr_5",29469,"FZ","CDI","C","O",1652,"481b","77"
1234,"ct_9","tr_6",19614,"HZ","CDI","C","O",1820,"652a","02"
1235,"ct_9","tr_5",2711,"IZ","CDD","C","O",259,"561d","35"
1238,"ct_8","tr_4",28318,"QB","CDI","C","O",1939,"434d","02"
1241,"ct_7","tr_1",11090,"QB","CDI","N","O",3000,"563a","02"
1242,"ct_9","tr_6",29245,"JC","CDI","C","O",1859,"388a","59"
1247,"ct_9","tr_3",18281,"GZ","CDI","C","O",1868,"551a","02"
1248,"ct_9","tr_1",2480,"JA","CDI","C","O",700,"543b","02"
1249,"ct_1","tr_5",5179,"PZ","AUT","P","X",609,"564b","02"
1254,"ct_9","tr_4",27857,"MA","CDI","C","O",1435,"463c","30"
1260,"ct_9","tr_1",33318,"JC","CDI","C","O",1617,"388c","93"
1263,"ct_9","tr_4",60697,"FZ","CDI","C","O",1820,"634b","77"
1265,"ct_8","tr_1",30574,"PZ","CDI","C","O",1820,"421b","02"
1276,"ct_9","tr_6",21155,"GZ","CDI","C","O",1911,"551a","02"
1278,"ct_9","tr_3",23476,"HZ","CDI","C","O",2200,"676b","02"
1279,"ct_9","tr_4",52970,"CH","CDI","C","O",3000,"461d","02"
1282,"ct_9","tr_2",12923,"GZ","CDI","C","O",1458,"554f","02"
1283,"ct_9","tr_2",14588,"CC","CDI","C","O",1568,"685a","02"
1288,"ct_2","tr_5",15688,"OZ","AUT","C","X",1821,"525c","02"
1291,"ct_9","tr_6",5978,"NZ","CDI","P","O",522,"684a","59"
1292,"ct_8","tr_6",8316,"QA","CDI","P","O",885,"526a","02"
1294,"ct_8","tr_3",23808,"QB","CDI","C","O",1726,"563b","59"
1297,"ct_8","tr_3",14894,"QB","CDI","C","O",1343,"636d","51"
1305,"ct_9","tr_3",19329,"CJ","CDI","C","O",601,"672a","02"
1306,"ct_3","tr_6",15279,"QA","CDD","C","O",1562,"525d","02"
1319,"ct_2","tr_1",7795,"OZ","CDD","P","O",645,"523c","02"
1320,"ct_9","tr_6",50452,"CM","CDI","C","O",1820,"386b","95"
1335,"ct_9","tr_2",24937,"MA","CDI","P","O",2099,"461d","02"
1357,"ct_9","tr_6",24118,"HZ","CDI","C","O",2200,"641a","02"
1369,"ct_8","tr_3",27863,"QB","CDI","C","O",1820,"423b","02"
1373,"ct_3","tr_6",23454,"QA","CDI","C","O",1820,"526a","02"
1381,"ct_9","tr_1",20200,"GZ","CDI","P","O",1642,"433d","02"
1390,"ct_8","tr_1",8837,"NZ","TOA","C","O",1070,"691e","02"
1395,"ct_9","tr_5",67929,"CH","CDI","C","O",1820,"385b","02"
1408,"ct_9","tr_4",18315,"QA","CDI","C","O",1820,"526a","59"
1425,"ct_8","tr_2",5580,"QB","AUT","P","X",531,"676a","02"
1433,"ct_8","tr_3",18457,"QB","CDI","C","O",1653,"526d","02"
1437,"ct_9","tr_5",19964,"GZ","CDI","C","O",1822,"552a","02"
1441,"ct_6","tr_1",14989,"SZ","CDI","C","O",1440,"562a","51"
1451,"ct_9","tr_3",17816,"QA","CDI","C","O",1941,"526e","02"
1457,"ct_9","tr_4",24194,"FZ","CDI","C","O",1820,"543h","02"
1458,"ct_8","tr_3",4699,"QB","CDI","C","O",556,"526a","02"
1459,"ct_9","tr_3",77380,"CE","CDI","C","O",1579,"372a","16"
1461,"ct_9","tr_6",35280,"HZ","CDI","C","O",1716,"546c","93"
1464,"ct_9","tr_0",48937,"KZ","CDI","C","O",1774,"431f","80"
1465,"ct_8","tr_5",25497,"QB","CDI","C","O",1721,"487b","60"
1466,"ct_9","tr_6",18602,"CE","CDI","C","O",1827,"461b","02"
1472,NA,NA,927,"QA","CDI","C","O",126,"563c","02"
1476,"ct_9","tr_1",13132,"IZ","CDI","C","O",1403,"561d","02"
1487,"ct_9","tr_4",42396,"FZ","CDI","C","O",1820,"382d","60"
1494,"ct_9","tr_0",17939,"GZ","CDI","P","O",1173,"544a","02"
1505,"ct_8","tr_4",20132,"QB","CDI","C","O",2044,"525d","02"
1514,"ct_8","tr_6",22910,"QA","CDI","C","O",1820,"526a","02"
1517,"ct_9","tr_1",34385,"GZ","CDI","C","O",2029,"433d","02"
1548,"ct_3","tr_6",22423,"QA","AUT","C","O",1818,"632k","02"
1557,"ct_9","tr_1",48639,"CM","CDI","C","O",1370,"383a","02"
1563,"ct_9","tr_4",16778,"QB","CDI","C","O",1670,"526a","02"
1565,"ct_9","tr_2",12123,"CH","CDI","C","O",1182,"637a","02"
1575,"ct_9","tr_4",17113,"QB","CDI","C","O",1505,"525d","02"
1576,"ct_9","tr_6",44333,"CE","CDI","C","O",1821,"475b","60"
1579,"ct_9","tr_3",11655,"HZ","CDI","P","O",1238,"641b","02"
1580,"ct_9","tr_1",35030,"MA","CDI","C","O",1872,"372b","02"
1588,"ct_8","tr_1",37562,"QB","CDI","C","O",1820,"434a","02"
1595,"ct_9","tr_6",18840,"HZ","CDI","C","O",1694,"628a","02"
1605,"ct_9","tr_3",18752,"GZ","CDI","C","O",1868,"551a","02"
1608,"ct_9","tr_6",20181,"GZ","CDI","C","O",1984,"551a","51"
1621,"ct_9","tr_6",30064,"KZ","CDI","C","O",1820,"467b","02"
1623,"ct_9","tr_2",21081,"QA","CDI","C","O",2096,"526e","02"
1635,"ct_9","tr_5",32642,"FZ","CDI","C","O",1757,"621e","02"
1636,"ct_9","tr_4",22019,"QB","CDI","C","O",1834,"526a","02"
1641,"ct_8","tr_3",30061,"QB","CDI","C","O",1785,"434d","02"
1645,NA,NA,6742,"TZ","CDI","C","O",808,"563c","02"
1648,"ct_8","tr_3",20826,"QB","CDI","C","O",1750,"434f","02"
1650,"ct_9","tr_4",19633,"QB","CDI","C","O",1792,"525d","77"
1658,"ct_9","tr_1",12094,"FZ","CDI","C","O",1246,"632d","51"
1662,"ct_9","tr_5",23793,"CM","CDI","C","O",1630,"624b","80"
1663,"ct_9","tr_3",20833,"CH","CDI","C","O",1775,"623b","60"
1667,"ct_3","tr_6",22892,"QA","CDI","C","O",1819,"526a","02"
1670,"ct_9","tr_2",16116,"GZ","CDI","C","O",1746,"676c","02"
1688,"ct_9","tr_1",22519,"GZ","CDI","C","O",1815,"634c","02"
1692,"ct_8","tr_1",40685,"SZ","CDI","C","O",1771,"373d","75"
1703,"ct_9","tr_5",23632,"GZ","CDI","C","O",1705,"674d","02"
1720,"ct_9","tr_2",12077,"GZ","CDI","C","O",1361,"624g","02"
1730,"ct_9","tr_6",41962,"CE","CDI","C","O",1827,"484a","02"
1747,"ct_9","tr_5",31686,"HZ","CDI","C","O",1604,"466c","02"
1765,"ct_9","tr_1",13861,"FZ","CDI","C","O",1632,"681a","59"
1781,"ct_9","tr_1",14467,"MC","CDI","C","O",1509,"433a","75"
1783,"ct_8","tr_2",27603,"QB","CDI","C","O",1820,"526d","59"
1786,"ct_9","tr_2",30546,"GZ","CDI","C","O",2039,"477b","51"
1789,"ct_9","tr_1",16036,"GZ","CDI","C","O",1495,"486d","59"
1790,"ct_6","tr_1",20503,"QA","CDI","C","O",2018,"526e","02"
1793,"ct_9","tr_1",10351,"GZ","CDD","C","O",1259,"554b","60"
1799,"ct_7","tr_1",9691,"QB","CDI","N","O",3000,"563a","02"
1801,"ct_9","tr_6",81492,"JB","CDI","C","O",1407,"373a","75"
1805,"ct_8","tr_1",13084,"QA","CDI","C","O",1365,"542a","93"
1808,"ct_8","tr_6",9855,"QA","CDI","P","O",885,"526a","02"
1813,"ct_9","tr_4",19266,"QB","CDI","C","O",1654,"525d","02"
1814,"ct_3","tr_6",20998,"QA","CDI","C","O",1820,"451h","02"
1822,"ct_9","tr_4",21243,"QB","CDI","C","O",1748,"525d","02"
1829,"ct_9","tr_2",14793,"PZ","CDI","C","O",1014,"423b","44"
1843,"ct_8","tr_4",14725,"QB","CDI","C","O",1169,"526a","03"
1850,"ct_8","tr_3",21067,"QB","CDI","P","O",1451,"526a","03"
1854,"ct_1","tr_3",19621,"PZ","CDI","P","O",277,"523b","03"
1856,"ct_9","tr_6",24589,"CH","CDI","C","O",1568,"628g","03"
1865,"ct_9","tr_1",16282,"FZ","CDI","C","O",1356,"632j","03"
1877,"ct_6","tr_1",26777,"KZ","CDI","C","O",1554,"467c","03"
1880,"ct_9","tr_3",17209,"GZ","CDI","C","O",1783,"551a","03"
1882,"ct_9","tr_6",4549,"GZ","CDD","C","O",482,"551a","03"
1898,"ct_9","tr_4",21147,"CM","CDI","C","O",2143,"641a","03"
1901,"ct_8","tr_4",15771,"QB","CDI","C","O",910,"479b","03"
1903,"ct_9","tr_6",23925,"QA","CDI","C","O",1827,"526a","03"
1920,"ct_9","tr_1",16791,"NZ","CDI","C","O",1820,"541d","03"
1925,"ct_9","tr_5",13039,"QA","CDI","C","O",3000,"525d","03"
1950,"ct_9","tr_6",19258,"CA","CDI","P","O",1260,"674b","03"
1956,"ct_9","tr_1",4326,"SZ","CDD","C","O",463,"562a","03"
1958,"ct_8","tr_3",16976,"QB","CDI","C","O",1820,"434f","03"
1971,"ct_9","tr_6",51134,"CG","CDI","C","O",1525,"372b","63"
1990,"ct_9","tr_5",15389,"HZ","CDI","C","O",1518,"634a","03"
1999,"ct_8","tr_4",12770,"QB","CDI","C","O",1589,"525d","03"
2004,"ct_9","tr_6",21518,"CA","CDI","P","O",1804,"674b","03"
2011,"ct_9","tr_5",17005,"HZ","CDI","C","O",1825,"526e","03"
2016,"ct_9","tr_5",33909,"CJ","CDI","C","O",1682,"622c","03"
2030,"ct_9","tr_6",26013,"FZ","CDI","C","O",1624,"481b","78"
2033,"ct_8","tr_1",25431,"PZ","CDI","C","O",1213,"421b","03"
2049,"ct_8","tr_5",21526,"OZ","CDI","P","O",1480,"461d","03"
2056,"ct_9","tr_6",22723,"CA","CDI","P","O",1761,"684a","03"
2058,"ct_1","tr_6",28925,"OZ","AUT","C","O",2564,"532a","36"
2085,"ct_8","tr_1",23376,"SZ","CDI","C","O",2008,"534a","75"
2086,"ct_9","tr_2",14829,"IZ","CDI","P","O",1759,"561f","03"
2088,"ct_8","tr_4",37602,"QB","CDI","C","O",1820,"431a","03"
2090,"ct_2","tr_4",19283,"QB","CDD","C","O",1797,"563b","03"
2097,"ct_8","tr_5",40613,"QB","CDI","C","O",1517,"434a","03"
2102,"ct_9","tr_1",16075,"FZ","CDI","C","O",1820,"632a","03"
2104,"ct_9","tr_6",22170,"QA","CDI","C","O",1827,"526a","03"
2107,"ct_9","tr_1",11376,"NZ","TTP","C","O",1006,"676c","03"
2120,"ct_9","tr_1",20398,"FZ","CDI","C","O",1820,"632g","03"
2121,"ct_3","tr_4",1288,"QB","CDI","P","O",153,"525d","63"
2133,"ct_8","tr_3",21034,"QB","CDI","C","O",1820,"526d","03"
2144,"ct_9","tr_1",24460,"MA","CDI","C","O",1931,"634c","03"
2147,"ct_9","tr_4",16703,"CM","CDI","C","O",1820,"542a","03"
2152,"ct_9","tr_3",1515,"CH","CDI","C","O",216,"628g","03"
2175,"ct_9","tr_3",21653,"GZ","CDI","C","O",1820,"462b","03"
2181,"ct_3","tr_4",18510,"QB","CDI","C","O",1653,"526a","03"
2212,"ct_9","tr_6",24470,"CE","CDI","C","O",1827,"475a","03"
2214,"ct_9","tr_6",24380,"CK","CDI","C","O",1885,"652a","03"
2215,"ct_9","tr_1",32095,"FZ","CDI","C","O",1631,"682a","03"
2230,"ct_8","tr_4",13054,"QB","CDI","C","O",1589,"525d","03"
2235,"ct_1","tr_3",27290,"PZ","AUT","C","O",1820,"341a","03"
2244,"ct_9","tr_2",19392,"HZ","CDI","C","O",1588,"526e","23"
