PRIMARY_KEY,Economic_sector,FORMER_DEP,JOB_DEP,work_description,TYPE_OF_CONTRACT,labor_force_status,WORK_CONDITION,Employer_category,WORKING_HOURS,employee_count
228,"OZ","27","27","472d","AUT","O","C","ct_2",1820,"tr_6"
231,"HZ","56","56","477a","CDI","O","P","ct_9",1629,"tr_5"
235,"OZ","75","75","524c","AUT","X","C","ct_2",303,"tr_6"
256,"NZ","94","83","684a","CDI","O","P","ct_9",352,"tr_4"
277,"CA","35","35","542a","TOA","O","P","ct_9",966,"tr_2"
295,"HZ","86","86","641a","CDI","O","C","ct_9",2200,"tr_3"
306,"QB","69","69","563a","CDI","O","N","ct_7",3000,"tr_1"
309,"NZ","67","67","564a","CDI","O","C","ct_8",885,"tr_1"
319,"MA","30","07","477b","CDI","O","C","ct_9",1752,"tr_6"
327,"QA","31","31","526b","CDI","O","C","ct_9",1625,"tr_1"
330,"CJ","33","33","622c","CDI","O","C","ct_9",1803,"tr_4"
333,"SZ","54","54","681b","AUT","X","P","ct_8",997,"tr_4"
344,"CB","85","85","627a","CDI","O","C","ct_9",2185,"tr_2"
383,"QB","30","30","563b","CDI","O","C","ct_8",1961,"tr_6"
388,"CA","28","28","625f","CDI","O","P","ct_9",1511,"tr_5"
393,"NZ","93","78","684a","CDI","O","C","ct_9",390,"tr_6"
405,"QA","29","29","526a","CDI","O","P","ct_9",915,"tr_5"
406,"TZ","88","88","563c","AUT","O","C",NA,128,NA
407,"KZ","67","68","676c","CDI","O","N","ct_5",1064,"tr_3"
411,"QB","44","44","434a","CDI","O","C","ct_8",1785,"tr_4"
412,"GZ","74","74","554a","CDI","O","P","ct_9",811,"tr_5"
427,"NZ","91","91","684a","CDI","O","P","ct_9",589,"tr_4"
441,"TZ","17","17","563c","CDI","O","C",NA,1119,NA
451,"FZ","60","02","632a","CDI","O","C","ct_9",1391,"tr_3"
463,"OZ","59","59","525c","CDI","O","P","ct_1",1160,"tr_5"
468,"QB","39","39","435b","CDI","O","C","ct_8",1522,"tr_1"
471,"GZ","50","61","554a","CDI","O","C","ct_9",1901,"tr_4"
488,"GZ","92","92","551a","CDI","O","C","ct_9",2200,"tr_5"
489,"HZ","61","61","451a","CDI","O","P","ct_9",747,"tr_2"
498,"QB","71","71","563a","CDI","O","N","ct_7",1595,"tr_0"
503,"OZ","35","35","543h","CDI","O","C","ct_1",1848,"tr_3"
512,"QB","37","37","525d","CDI","O","C","ct_8",1849,"tr_3"
522,"CB","85","85","675a","CDI","O","C","ct_9",1588,"tr_3"
530,"CB","16","16","653a","CDI","O","C","ct_9",1820,"tr_3"
536,"GZ","62","62","463e","CDI","O","C","ct_9",1512,"tr_3"
538,"RZ","67","67","424a","CDI","O","C","ct_9",919,"tr_2"
552,"IZ","68","68","636d","CDI","O","C","ct_9",523,"tr_1"
572,"EZ","94","94","628e","CDI","O","C","ct_9",1677,"tr_4"
573,"QA","57","57","433a","CDI","O","C","ct_9",1820,"tr_1"
578,"NZ","29","29","691c","CDI","O","P","ct_8",1096,"tr_2"
584,"AZ","82","82","691b","CDI","O","C",NA,130,NA
596,"KZ","59","59","467c","CDI","O","C","ct_9",1755,"tr_5"
620,"TZ","60","60","563c","CDI","O","P",NA,212,NA
637,"QB","51","51","432d","CDI","O","C","ct_8",1779,"tr_3"
645,"IZ","56","56","488b","CDI","O","C","ct_9",1485,"tr_1"
692,"QB","46","46","563b","AUT","X","P","ct_8",1315,"tr_3"
716,"PZ","13","13","423b","CDI","O","C","ct_9",721,"tr_2"
717,"CI","38","38","477b","CDI","O","C","ct_9",1048,"tr_5"
730,"PZ","72","72","341a","CDI","O","P","ct_8",679,"tr_5"
732,"QB",NA,NA,"526c","CDI","O","C","ct_8",1820,"tr_2"
737,"MC","81","81","462e","CDI","O","C","ct_9",1517,"tr_1"
738,"QA","78","93","526e","CDI","O","C","ct_9",2039,"tr_1"
739,"GZ","60","60","463e","CDI","O","C","ct_9",936,"tr_2"
742,"QA","78","92","526b","CDI","O","P","ct_8",1496,"tr_6"
743,"OZ","62","62","525b","AUT","O","C","ct_2",1213,"tr_6"
747,"HZ","65","65","628g","CDI","O","C","ct_9",1423,"tr_5"
766,"NZ","76","35","684a","CDI","O","P","ct_9",1437,"tr_6"
778,"QA","64","64","525d","CDI","O","C","ct_9",783,"tr_4"
794,"QB","68","68","432d","CDI","O","P","ct_8",229,"tr_3"
795,"MA","59","59","543h","CDI","O","P","ct_6",234,"tr_0"
832,"HZ","94","91","643a","CDI","O","P","ct_9",882,"tr_2"
833,"NZ","40","40","641a","TTP","O","N","ct_9",260,"tr_1"
852,"MA","66","66","461d","CDI","O","P","ct_9",692,"tr_1"
866,"GZ","67","67","682a","CDI","O","C","ct_9",1832,"tr_2"
871,"IZ","78","75","636d","CDI","O","C","ct_9",1790,"tr_3"
873,"MA","92","92","461d","CDI","O","C","ct_9",1449,"tr_3"
874,"GZ","78","75","553b","CDI","O","C","ct_9",1863,"tr_6"
879,"QB","92","92","525d","CDI","O","C","ct_8",1820,"tr_3"
904,"FZ","93","93","472c","CDI","O","P","ct_9",938,"tr_1"
913,"FZ","78","95","477b","CDI","O","C","ct_9",1566,"tr_3"
914,"LZ","56","56","463e","CDI","O","C","ct_9",1401,"tr_1"
937,"NZ","21","69","534a","CDI","O","C","ct_9",768,"tr_6"
948,"QB","44","44","432d","CDI","O","C","ct_8",1823,"tr_5"
961,"QA","59","59","525d","CDI","O","C","ct_9",1820,"tr_4"
971,"NZ","95","95","543f","CDI","O","C","ct_9",759,"tr_2"
973,"MA","31","31","542a","CDI","O","C","ct_9",1950,"tr_1"
979,"GZ","57","57","463c","CDI","O","C","ct_9",1610,"tr_1"
990,"CL","44","44","475b","CDI","O","C","ct_9",1763,"tr_6"
993,"PZ","43","43","422c","CDI","O","C","ct_8",607,"tr_3"
1012,"FZ","34","34","676c","CDI","O","C","ct_9",910,"tr_2"
1032,"CG","88","88","674a","CDI","O","C","ct_9",1571,"tr_5"
1062,"GZ","91","75","543b","CDI","O","P","ct_9",1530,"tr_1"
1092,"HZ","60","60","481b","CDI","O","C","ct_9",1820,"tr_4"
1097,"CA","22","22","636c","CDI","O","C","ct_9",2028,"tr_2"
1124,"QA","44","85","525d","CDI","O","C","ct_8",1820,"tr_5"
1131,"GZ","88","88","551a","CDI","O","C","ct_9",1911,"tr_5"
1133,"QA","59","59","526e","CDI","O","C","ct_9",2092,"tr_2"
1134,"GZ","72","72","554g","CDI","O","P","ct_6",928,"tr_2"
1139,"IZ","92","95","561b","CDI","O","C","ct_9",1787,"tr_5"
1142,"GZ","15","15","634c","CDI","O","P","ct_9",384,"tr_1"
1153,"GZ","69","71","641a","CDI","O","C","ct_9",1626,"tr_2"
1173,"GZ","22","22","543b","CDI","O","P","ct_9",2052,"tr_2"
1186,"OZ","64","64","461f","CDI","O","C","ct_1",1820,"tr_4"
1188,"MA","63","63","461d","CDI","O","C","ct_9",1988,"tr_4"
1195,"GZ","54","54","551a","CDI","O","C","ct_9",1401,"tr_6"
1196,"FZ","50","50","621b","CDI","O","C","ct_9",990,"tr_4"
1199,"QB","86","86","563b","CDI","O","P","ct_8",988,"tr_3"
1202,"HZ","80","80","521a","CDI","O","C","ct_9",1820,"tr_6"
1206,"MA","23","91","543f","CDI","O","C","ct_9",1820,"tr_6"
1219,"NZ","57","57","684a","CDI","O","P","ct_9",673,"tr_4"
1231,"SZ","67","67","543b","CDI","O","C","ct_8",1972,"tr_1"
1232,"SZ","77","77","541b","CDI","O","P","ct_9",893,"tr_1"
1233,"PZ","01","01","421b","CDI","O","C","ct_8",1692,"tr_5"
1256,"GZ","67","67","542a","CDI","O","C","ct_9",1756,"tr_4"
1257,"CH","74","74","628c","CDI","O","C","ct_9",1797,"tr_3"
1270,"NZ","62","62","652a","CDI","O","C","ct_9",1820,"tr_4"
1280,"IZ","13","13","561d","CDD","O","C","ct_9",1792,"tr_4"
1281,"QB","58","89","526a","CDI","O","C","ct_8",1820,"tr_3"
1298,"NZ","80","80","684a","CDI","O","P","ct_9",1463,"tr_4"
1312,"QB","66","66","526a","CDI","O","P","ct_2",1177,"tr_6"
1313,"QA","92","75","332b","CDI","O","C","ct_3",1820,"tr_6"
1317,"QA",NA,NA,"526a","AUT","O","C","ct_3",472,"tr_6"
1324,"LZ","31","31","676e","CDI","O","P","ct_9",684,"tr_1"
1337,"NZ","77","75","534a","CDI","O","C","ct_9",1629,"tr_3"
1338,"QB","14","14","542a","CDD","O","P","ct_8",204,"tr_4"
1341,"NZ","88","88","676c","CDI","O","C","ct_9",1743,"tr_4"
1351,"FZ","95","78","543g","CDI","O","C","ct_9",1090,"tr_2"
1356,"TZ","13","13","563c","CDI","O","C",NA,346,NA
1363,"HZ","25","25","641a","CDI","O","C","ct_9",1733,"tr_3"
1372,"QA","69","69","525d","CDI","O","P","ct_8",1480,"tr_6"
1385,"JC","69","69","388c","CDI","O","C","ct_9",2002,"tr_5"
1401,"QB","17","17","563b","CDI","O","N","ct_7",1213,"tr_1"
1409,"FZ","35","35","621a","CDI","O","C","ct_9",1614,"tr_3"
1413,"CH","68","68","623g","CDI","O","P","ct_9",601,"tr_2"
1422,"QB","06","06","563b","CDI","O","P","ct_9",1134,"tr_3"
1432,"QB","71","71","525d","CDI","O","C","ct_3",1820,"tr_4"
1435,"OZ","31","31","333e","CDI","O","P","ct_1",1485,"tr_5"
1445,"SZ","06","06","632k","CDD","O","C","ct_8",325,"tr_6"
1447,"OZ","59","59","524b","CDI","O","P","ct_1",1238,"tr_5"
1462,"GZ","51","51","554a","CDI","O","C","ct_9",1517,"tr_6"
1469,"CB","22","22","635a","CDI","O","C","ct_9",1316,"tr_1"
1471,"GZ","59","59","684a","CDI","O","P","ct_9",442,"tr_1"
1488,"HZ","83","83","451a","CDI","O","C","ct_9",1820,"tr_3"
1511,"CJ","72","72","672a","CDI","O","P","ct_9",1503,"tr_6"
1521,"NZ","68","68","684a","CDI","O","P","ct_9",1723,"tr_4"
1523,"OZ",NA,NA,"621f","CDI","O","C","ct_2",1532,"tr_6"
1525,"CJ","38","38","653a","CDI","O","C","ct_9",1757,"tr_4"
1529,"CA","49","49","625d","CDI","O","C","ct_9",1530,"tr_6"
1567,"CI","68","68","624b","CDI","O","C","ct_9",1518,"tr_6"
1569,"QB","67","67","434d","CDI","O","C","ct_8",1820,"tr_3"
1586,"CH","37","44","628a","CDI","O","C","ct_9",1676,"tr_6"
1589,"KZ","01","01","467a","CDI","O","P","ct_9",1357,"tr_1"
1593,"SZ","91","91","526d","CDI","O","C","ct_8",1820,"tr_4"
1594,"HZ","2B","2B","676e","CDI","O","C","ct_9",698,"tr_3"
1603,"QB","74","74","563a","CDI","O","C","ct_8",1374,"tr_2"
1606,"NZ","60","60","632d","TTP","O","C","ct_9",866,"tr_2"
1610,"IZ","33","33","561d","CDI","O","C","ct_9",1235,"tr_1"
1651,"FZ","94","93","681a","CDI","O","C","ct_9",314,"tr_1"
1659,"IZ","33","33","561b","CDI","O","C","ct_9",814,"tr_1"
1661,"DZ","2A","2A","477c","CDI","O","C","ct_9",1820,"tr_4"
1679,"GZ","78","78","676a","CDI","O","C","ct_9",1611,"tr_5"
1697,"OZ","49","49","422e","CDI","O","P","ct_1",849,"tr_6"
1701,"QA","24","24","526e","CDI","O","C","ct_9",2171,"tr_3"
1704,"HZ","59","59","546b","CDI","O","C","ct_9",1983,"tr_6"
1706,"PZ","37","37","461d","CDI","O","P","ct_8",1484,"tr_3"
1718,"QA","91","92","526e","CDI","O","C","ct_9",2200,"tr_3"
1743,"QA","60","60","526a","CDI","O","C","ct_8",1888,"tr_5"
1744,"QB","24","24","525d","CDD","O","C","ct_8",1775,"tr_4"
1749,"LZ","34","34","684a","CDI","O","C","ct_5",1820,"tr_5"
1759,"QB","06","06","563b","CDI","O","P","ct_9",1353,"tr_3"
1776,"HZ","33","33","641a","CDI","O","C","ct_9",2423,"tr_3"
1833,"GZ","57","57","462b","CDI","O","C","ct_9",1834,"tr_3"
1835,"MA","95","75","372e","CDI","O","P","ct_6",1664,"tr_1"
1837,"QB","62","62","434f","CDI","O","P","ct_8",646,"tr_5"
1839,"KZ","44","44","545c","CDD","O","C","ct_9",304,"tr_3"
1842,"QA","67","67","525d","CDI","O","C","ct_8",1939,"tr_5"
1844,"NZ",NA,NA,"684a","CDI","O","C","ct_9",1711,"tr_4"
1845,"QA","11","11","526a","CDI","O","C","ct_9",1999,"tr_6"
1855,"CB","82","82","635a","CDI","O","C","ct_9",1970,"tr_3"
1866,"QB","06","06","525d","AUT","O","C","ct_3",1814,"tr_5"
1870,"PZ","57","55","341a","CDI","O","C","ct_8",1820,"tr_4"
1871,"JC","38","69","388c","CDI","O","C","ct_9",1440,"tr_5"
1883,"HZ","60","95","652a","CDI","O","C","ct_9",1578,"tr_6"
1887,"GZ","87","87","553c","CDI","O","C","ct_9",1911,"tr_6"
1890,"QB","39","25","563b","CDI","O","P","ct_9",1323,"tr_0"
1896,"QB","47","47","526d","CDI","O","C","ct_8",1726,"tr_2"
1904,"QB","38","38","525d","CDI","O","P","ct_8",669,"tr_5"
1909,"HZ","75","75","451a","CDI","O","C","ct_9",1043,"tr_6"
1912,"QA","23","23","462d","CDD","O","P","ct_3",504,"tr_6"
1918,"QA","13","13","525d","CDI","O","P","ct_3",1422,"tr_6"
1921,"PZ","59","59","543g","CDI","O","C","ct_8",1701,"tr_6"
1922,"CE","50","50","534a","CDI","O","C","ct_9",1845,"tr_6"
1942,"HZ","69","69","477a","CDD","O","C","ct_9",891,"tr_5"
1959,"GZ","95","77","676a","CDI","O","P","ct_9",352,"tr_2"
1966,"LZ","11","11","463e","CDI","O","C","ct_9",1820,"tr_2"
1970,"GZ","91","91","554b","CDI","O","C","ct_9",1708,"tr_6"
1972,"OZ","94","93","451e","CDI","O","C","ct_8",1470,"tr_3"
1988,"QB","13","13","563b","AUT","O","C",NA,316,NA
1993,"MA","79","79","387d","CDI","O","C","ct_8",1365,"tr_5"
1997,"QA","78","78","525d","CDI","O","P","ct_9",385,"tr_4"
2000,"GZ","86","86","634c","CDI","O","C","ct_9",1578,"tr_2"
2002,"QA","83","83","431f","CDI","O","P","ct_9",963,"tr_3"
2003,"CH","63","63","624b","CDI","O","C","ct_9",1506,"tr_6"
2014,"GZ","56","35","554a","CDI","O","P","ct_9",1248,"tr_3"
2015,"QB","91","91","526a","CDI","O","C","ct_9",1827,"tr_4"
2022,"KZ","85","44","467c","CDI","O","C","ct_9",1834,"tr_6"
2029,"QB","44","44","525d","CDI","O","C","ct_9",1517,"tr_4"
2035,"QA","52","52","526e","CDI","O","C","ct_9",2070,"tr_3"
2037,"KZ","75","75","543g","CDI","O","C","ct_9",1209,"tr_3"
2076,"SZ","75","75","562b","CDI","O","C","ct_9",1662,"tr_1"
2099,"MA","51","51","423b","CDI","O","P","ct_9",526,"tr_1"
2101,"QB","59","59","526a","CDI","O","P","ct_8",1407,"tr_6"
2110,"CH","54","54","652a","CDI","O","C","ct_9",1575,"tr_6"
2115,"GZ","86","86","487a","CDI","O","C","ct_9",1820,"tr_5"
2119,"HZ",NA,NA,"451a","CDI","O","C","ct_9",1820,"tr_5"
2131,"QA","76","76","526b","CDI","O","P","ct_6",889,"tr_1"
2135,"QA","2B","2B","526c","CDI","O","C","ct_9",1828,"tr_5"
2138,"OZ","53","53","333f","CDI","O","C","ct_2",1820,"tr_6"
2139,"OZ","14","14","461e","CDI","O","C","ct_1",1820,"tr_4"
2146,"QB","76","76","563b","CDI","O","P","ct_8",1374,"tr_1"
2154,"QB","38","38","563a","CDI","O","N","ct_7",2656,"tr_0"
2155,"CK","59","59","623g","CDI","O","C","ct_9",1796,"tr_6"
2159,"HZ","47","47","451a","CDI","O","C","ct_9",1824,"tr_4"
2163,"QB","78","78","676e","AUT","O","C","ct_8",1761,"tr_5"
2176,"GZ","2B","2B","634c","CDI","O","P","ct_9",330,"tr_1"
2180,"OZ","78","78","563a","AUT","O","C","ct_2",1757,"tr_6"
2185,"QA","38","38","526a","CDI","O","P",NA,139,NA
2196,"EZ",NA,NA,"622e","CDI","O","C","ct_5",1694,"tr_3"
2201,"QA","50","50","431a","CDD","O","C",NA,259,NA
2204,"QA","78","78","526a","CDI","O","C","ct_8",1820,"tr_6"
2209,"QB","71","71","525d","CDI","O","P","ct_8",1140,"tr_2"
2222,"OZ","57","57","524c","AUT","X","P","ct_2",1278,"tr_5"
2224,"SZ","06","06","562b","CDI","O","P","ct_9",976,"tr_1"
2231,"GZ","83","83","554a","CDI","O","C","ct_9",1869,"tr_1"
2242,"QB","77","77","563b","CDI","O","P","ct_9",1206,"tr_4"
2245,"RZ","84","84","354b","CDD","O","N","ct_8",360,"tr_0"
2246,"GZ","57","57","374a","CDI","O","C","ct_9",1205,"tr_1"
2248,"QB","49","49","563b","CDI","O","N","ct_7",2235,"tr_1"
2259,"QB","72","72","563b","CDI","O","P","ct_8",1284,"tr_6"
2260,"GZ","01","01","543b","CDI","O","C",NA,374,NA
2265,"CA","66","66","463d","CDI","O","C","ct_9",1334,"tr_5"
2276,"SZ","33","33","463e","CDI","O","P","ct_9",759,"tr_1"
2279,"CL","95","92","477d","CDI","O","C","ct_9",1906,"tr_4"
2282,"QB","67","67","525d","CDI","O","P","ct_8",1636,"tr_3"
2285,"NZ","27","27","684a","CDI","O","P","ct_9",1040,"tr_5"
2301,"HZ","07","07","451a","CDI","O","P","ct_9",1274,"tr_4"
2321,"GZ","38","38","676c","CDI","O","P","ct_9",1230,"tr_2"
2322,"HZ","89","45","676c","CDI","O","C","ct_9",763,"tr_5"
2339,"LZ","10","10","461f","CDI","O","C","ct_5",1820,"tr_5"
2352,"FZ","47","47","481b","CDI","O","C","ct_9",1233,"tr_3"
2370,"OZ","06","06","524c","AUT","X","C","ct_2",1860,"tr_6"
2379,"GZ","64","64","552a","CDI","O","P","ct_9",1224,"tr_5"
2383,"QB","38","38","542a","CDI","O","C",NA,254,NA
2385,"QB","46","46","525d","CDI","O","P","ct_8",431,"tr_2"
2398,"QB","29","29","563a","CDI","O","N","ct_7",3000,"tr_1"
2412,"FZ","56","56","542a","CDI","O","P","ct_9",989,"tr_1"
2413,"GZ","68","68","643a","CDI","O","C","ct_9",764,"tr_3"
2422,"CA","76","60","625d","CDI","O","C","ct_9",1820,"tr_5"
2458,"GZ","01","01","543g","CDI","O","C","ct_9",1624,"tr_5"
2474,"CA","94","94","551a","CDI","O","C","ct_9",1412,"tr_3"
2480,"HZ","60","60","451a","CDI","O","C","ct_9",1818,"tr_3"
2487,"OZ","23","23","545d","CDI","O","P","ct_8",728,"tr_4"
2492,"QB","66","66","479b","CDI","O","C","ct_8",1705,"tr_3"
2501,"MA","80","80","472b","CDI","O","C","ct_9",2097,"tr_2"
2520,"CA","34","34","625b","CDI","O","C","ct_9",1470,"tr_1"
2528,"QA","40","40","525d","CDI","O","C","ct_9",1321,"tr_5"
2532,"MA","14","14","373c","CDI","O","C","ct_9",2028,"tr_3"
2539,"CL","07","07","628a","CDI","O","C","ct_9",769,"tr_4"
2540,"IZ","45","45","525d","CDI","O","C",NA,308,NA
2544,"GZ","14","14","552a","CDD","O","P","ct_9",285,"tr_4"
2549,"CH","59","59","461d","CDI","O","C","ct_9",1477,"tr_6"
2555,"QA","42","07","525d","CDI","O","P","ct_3",1490,"tr_6"
2566,"GZ","07","07","554a","AUT","X","P","ct_9",1263,"tr_1"
2586,"GZ","67","68","463c","CDI","O","C","ct_9",1916,"tr_2"
2588,"FZ","37","37","472c","CDI","O","P","ct_9",1248,"tr_1"
2601,"QB","57","57","563a","CDI","O","N","ct_7",3000,"tr_1"
2604,"HZ","32","32","451a","CDI","O","C","ct_9",1072,"tr_4"
2609,"FZ","59","59","632a","CDD","O","C","ct_9",715,"tr_1"
2610,"GZ","79","79","487a","CDI","O","C","ct_9",1730,"tr_1"
2623,"GZ","12","12","433d","CDI","O","P","ct_9",455,"tr_1"
2630,"QA","09","09","684a","CDI","O","C",NA,1569,NA
2633,"QB","95","95","526d","CDI","O","C","ct_8",1820,"tr_3"
2647,"PZ","56","35","341a","CDI","O","P","ct_8",1576,"tr_4"
2666,"OZ","79","79","524c","CDI","O","C",NA,444,NA
2668,"JA","77","92","353a","CDI","O","C","ct_9",1694,"tr_3"
2669,"KZ","59","59","467d","CDI","O","C","ct_8",1820,"tr_4"
2694,"MA","06","06","534a","CDI","O","C","ct_9",1130,"tr_2"
2699,"FZ","44","44","621c","CDI","O","C","ct_6",817,"tr_3"
2710,"TZ","95","95","563c","CDI","O","N","ct_7",1407,"tr_1"
2713,"IZ","62","62","561c","CDI","O","P","ct_9",193,"tr_1"
2725,"QA","70","90","526a","CDI","O","N",NA,124,NA
2757,"FZ","93","93","542a","CDI","O","C","ct_9",1820,"tr_1"
2762,"OZ","44","44","621f","CDI","O","C",NA,136,NA
2765,"NZ","38","38","684a","CDI","O","P","ct_9",2188,"tr_6"
2770,"MB","91","91","342g","CDI","O","C","ct_5",1820,"tr_6"
2778,"GZ","57","22","463e","CDI","O","C",NA,132,NA
2781,"QB","72","72","676e","AUT","O","C","ct_8",1820,"tr_5"
2782,"KZ","2B","2B","467b","CDI","O","C","ct_9",1782,"tr_4"
2789,"GZ","30","30","344d","CDI","O","P","ct_9",1510,"tr_0"
2802,"BZ","82","82","621g","CDI","O","C","ct_9",1881,"tr_2"
2815,"FZ","12","12","632e","CDI","O","P","ct_9",544,"tr_2"
2822,"NZ","67","67","681b","CDI","O","C","ct_9",1524,"tr_1"
2835,"MA","75","75","684a","CDI","O","P","ct_9",413,"tr_3"
2838,"QA","53","53","526e","CDI","O","P","ct_9",1108,"tr_2"
2839,"FZ","06","06","671c","CDI","O","P","ct_9",672,"tr_1"
2856,"HZ","13","84","466a","CDI","O","C","ct_9",1443,"tr_6"
2858,"KZ","31","31","373c","CDI","O","P","ct_9",1248,"tr_1"
2862,"QB","26","84","685a","CDI","O","P",NA,430,NA
2863,"QB","76","76","563a","AUT","O","C","ct_2",1972,"tr_6"
2871,"LZ","22","35","525b","CDI","O","C","ct_5",1813,"tr_6"
2888,"GZ","60","60","634a","CDI","O","C","ct_9",1743,"tr_4"
2890,"CL","33","33","478b","CDI","O","C","ct_9",1870,"tr_6"
2896,"QB","43","43","525d","CDI","O","C","ct_8",910,"tr_3"
2901,"OZ","46","46","451e","CDI","O","P","ct_8",1627,"tr_1"
2904,"QB","54","54","525d","CDI","O","P","ct_3",744,"tr_6"
2911,"CL","62","62","623f","CDI","O","C","ct_9",2018,"tr_6"
2914,"GZ","69","69","543b","CDI","O","C","ct_9",1780,"tr_1"
2917,"BZ","12","12","374a","CDI","O","C","ct_9",1676,"tr_4"
2932,"GZ","95","95","373d","CDI","O","C","ct_9",1432,"tr_2"
2939,"NZ","93","92","684a","CDI","O","P","ct_9",1809,"tr_6"
2941,"GZ","30","30","552a","CDI","O","C","ct_9",1867,"tr_5"
2947,"MA","31","31","473b","CDI","O","C","ct_9",1526,"tr_6"
2953,"CA","40","40","691e","CDI","O","C","ct_9",1841,"tr_5"
2955,"CI","13","13","622a","CDI","O","C","ct_9",1231,"tr_6"
2964,"QB","18","18","563a","AUT","O","C","ct_2",3000,"tr_5"
2973,"MA","45","45","543b","CDI","O","P","ct_9",1568,"tr_3"
2974,"OZ","88","88","451g","CDI","O","P","ct_2",1560,"tr_6"
2976,"KZ","72","72","433a","CDI","O","C","ct_9",1517,"tr_2"
2993,"NZ","69","69","691e","CDI","O","C",NA,356,"tr_1"
2997,"OZ","73","73","373b","CDI","O","C","ct_8",2044,"tr_5"
3000,"GZ","40","40","542a","CDI","O","C","ct_9",1528,"tr_6"
3001,"NZ","92","77","684a","CDI","O","C","ct_9",888,"tr_6"
3007,"FZ","39","21","481b","CDI","O","C","ct_9",1631,"tr_2"
3014,"OZ","59","59","333e","CDI","O","C","ct_8",455,"tr_4"
3019,"QB","73","73","526c","CDI","O","P","ct_8",1094,"tr_4"
3030,"QB","77","77","563a","CDI","O","N","ct_7",3000,"tr_1"
3031,"QB","12","12","525d","CDI","O","C","ct_8",1291,"tr_4"
3040,"OZ","76","76","467d","CDI","O","C","ct_8",2040,"tr_6"
3043,"TZ","92","92","563c","CDI","O","C",NA,420,NA
3044,"QA",NA,NA,"431f","CDI","O","C","ct_8",1825,"tr_3"
3055,"NZ","43","43","541c","CDI","O","C","ct_9",1852,"tr_1"
3065,"SZ","19","19","562b","CDI","O","C","ct_9",448,"tr_1"
3076,"PZ","06","06","422a","CDI","O","C","ct_1",1820,"tr_4"
3078,"HZ","38","38","641a","CDI","O","C","ct_9",1288,"tr_2"
3080,"CM","76","76","483a","CDI","O","C","ct_9",1769,"tr_6"
3092,"PZ","75","92","422c","CDI","O","P","ct_8",987,"tr_3"
3107,"CH","31","31","653a","CDI","O","C","ct_9",447,"tr_4"
3113,"JB","78","92","462e","CDI","O","C","ct_9",1629,"tr_6"
3115,"SZ","93","75","525d","CDI","O","C","ct_8",2943,"tr_1"
3117,"QA","76","76","431f","CDI","O","P","ct_9",1676,"tr_6"
3122,"CI","38","38","374b","CDI","O","C","ct_9",1771,"tr_5"
3124,"PZ","69","69","422c","CDI","O","P","ct_8",214,"tr_2"
3128,"QB","07","07","563a","CDI","O","N","ct_7",128,"tr_0"
3144,"NZ","92","92","684a","CDI","O","C","ct_9",2351,"tr_4"
3145,"QB","19","19","525d","CDI","O","C","ct_8",1819,"tr_2"
3147,"GZ","55","55","471a","CDI","O","C","ct_9",1319,"tr_6"
3153,"PZ","15","15","341a","CDI","O","C","ct_8",1820,"tr_4"
