PRIMARY_KEY,FORMER_JOB_42,former_emp_contract,retirement_age
406,"csp_5_6","EMP1-5",63
407,"csp_6_7","EMP1-6",60
411,"csp_4_3","EMP1-6",60
412,"csp_5_5","EMP1-6",60
417,"csp_2_3","EMP2-2",60
426,"csp_2_2","EMP2-1",62
427,"csp_6_8","EMP1-6",65
430,"csp_2_1","EMP2-1",57
437,"csp_4_7","EMP2-2",59
441,"csp_5_6","EMP1-6",60
451,"csp_6_3","EMP1-6",60
463,"csp_5_2","EMP1-6",52
465,"csp_2_1","EMP2-2",60
468,"csp_4_3","EMP1-6",60
471,"csp_5_5","EMP1-6",60
488,"csp_5_5","EMP1-6",53
489,"csp_4_5","EMP1-6",60
498,"csp_5_6","EMP1-6",60
503,"csp_5_4","EMP1-6",57
512,"csp_5_2","EMP1-6",60
522,"csp_6_7","EMP1-6",60
530,"csp_6_5","EMP1-6",60
536,"csp_4_6","EMP1-6",60
538,"csp_4_2","EMP1-6",62
545,"csp_1_1","EMP2-1",65
552,"csp_6_3","EMP1-6",60
572,"csp_6_2","EMP1-6",55
573,"csp_4_3","EMP1-6",60
577,"csp_2_2","EMP2-1",64
578,"csp_6_9","EMP1-6",60
584,"csp_6_9","EMP1-6",60
596,"csp_4_6","EMP1-6",60
620,"csp_5_6","EMP1-6",65
637,"csp_4_3","EMP1-6",60
645,"csp_4_8","EMP1-6",54
652,"csp_2_1","EMP2-2",60
680,"csp_1_1","EMP2-1",62
692,"csp_5_6","EMP1-3",60
711,"csp_4_6","EMP2-1",61
716,"csp_4_2","EMP1-6",60
717,"csp_4_7","EMP1-6",62
730,"csp_3_4","EMP1-6",65
731,"csp_2_1","EMP2-2",64
732,"csp_5_2","EMP1-6",56
737,"csp_4_6","EMP1-6",64
738,"csp_5_2","EMP1-6",58
739,"csp_4_6","EMP1-6",60
742,"csp_5_2","EMP1-6",65
743,"csp_5_2","EMP1-2",65
747,"csp_6_2","EMP1-6",65
766,"csp_6_8","EMP1-6",60
770,"csp_2_3","EMP2-2",65
778,"csp_5_2","EMP1-6",60
794,"csp_4_3","EMP1-6",63
795,"csp_5_4","EMP1-6",65
832,"csp_6_4","EMP1-6",62
833,"csp_6_4","EMP1-2",65
852,"csp_4_6","EMP1-6",65
866,"csp_6_8","EMP1-6",55
871,"csp_6_3","EMP1-6",60
873,"csp_4_6","EMP1-6",65
874,"csp_5_5","EMP1-6",60
879,"csp_5_2","EMP1-6",60
895,"csp_1_1","EMP2-1",60
904,"csp_4_7","EMP1-6",65
913,"csp_4_7","EMP1-6",65
914,"csp_4_6","EMP1-6",60
937,"csp_5_3","EMP1-6",60
939,"csp_2_3","EMP2-2",52
947,"csp_2_2","EMP2-1",61
948,"csp_4_3","EMP1-6",60
961,"csp_5_2","EMP1-6",60
971,"csp_5_4","EMP1-6",60
973,"csp_5_4","EMP1-6",60
979,"csp_4_6","EMP1-6",60
990,"csp_4_7","EMP1-6",58
993,"csp_4_2","EMP1-6",62
1012,"csp_6_7","EMP1-6",62
1032,"csp_6_7","EMP1-6",60
1062,"csp_5_4","EMP1-6",65
1072,"csp_1_3","EMP2-2",60
1092,"csp_4_8","EMP1-6",60
1097,"csp_6_3","EMP1-6",59
1124,"csp_5_2","EMP1-6",55
1131,"csp_5_5","EMP1-6",61
1133,"csp_5_2","EMP1-6",58
1134,"csp_5_5","EMP1-6",65
1139,"csp_5_6","EMP1-6",61
1142,"csp_6_3","EMP1-6",64
1153,"csp_6_4","EMP1-6",60
1170,"csp_2_1","EMP2-2",60
1173,"csp_5_4","EMP1-6",56
1186,"csp_4_6","EMP1-6",60
1188,"csp_4_6","EMP1-6",55
1195,"csp_5_5","EMP1-6",62
1196,"csp_6_2","EMP1-6",60
1199,"csp_5_6","EMP1-6",64
1202,"csp_5_2","EMP1-6",60
1206,"csp_5_4","EMP1-6",60
1209,"csp_2_2","EMP2-1",60
1219,"csp_6_8","EMP1-6",51
1220,"csp_1_2","EMP2-2",60
1221,"csp_4_6","EMP2-1",60
1231,"csp_5_4","EMP1-6",60
1232,"csp_5_4","EMP1-6",65
1233,"csp_4_2","EMP1-6",61
1256,"csp_5_4","EMP1-6",60
1257,"csp_6_2","EMP1-6",60
1270,"csp_6_5","EMP1-6",60
1280,"csp_5_6","EMP1-5",60
1281,"csp_5_2","EMP1-6",52
1298,"csp_6_8","EMP1-6",60
1312,"csp_5_2","EMP1-6",60
1313,"csp_3_3","EMP1-6",60
1317,"csp_5_2","EMP1-5",65
1324,"csp_6_7","EMP1-6",65
1333,"csp_1_1","EMP2-1",60
1337,"csp_5_3","EMP1-6",63
1338,"csp_5_4","EMP1-5",65
1341,"csp_6_7","EMP1-6",60
1347,"csp_1_1","EMP2-1",65
1351,"csp_5_4","EMP1-6",56
1356,"csp_5_6","EMP1-6",65
1363,"csp_6_4","EMP1-6",60
1370,"csp_3_5","EMP2-1",60
1372,"csp_5_2","EMP1-6",60
1385,"csp_3_8","EMP1-6",60
1389,"csp_2_1","EMP2-1",60
1398,"csp_2_1","EMP2-1",60
1401,"csp_5_6","EMP1-6",60
1407,"csp_1_3","EMP2-1",65
1409,"csp_6_2","EMP1-6",58
1413,"csp_6_2","EMP1-6",63
1422,"csp_5_6","EMP1-6",65
1429,"csp_2_1","EMP2-1",57
1432,"csp_5_2","EMP1-6",63
1435,"csp_3_3","EMP1-6",60
1445,"csp_6_3","EMP1-2",60
1447,"csp_5_2","EMP1-6",63
1462,"csp_5_5","EMP1-6",60
1469,"csp_6_3","EMP1-6",60
1471,"csp_6_8","EMP1-6",65
1478,"csp_1_1","EMP2-1",60
1488,"csp_4_5","EMP1-6",60
1506,"csp_2_1","EMP2-2",65
1511,"csp_6_7","EMP1-6",60
1521,"csp_6_8","EMP1-6",60
1523,"csp_6_2","EMP1-6",64
1525,"csp_6_5","EMP1-6",62
1529,"csp_6_2","EMP1-6",62
1538,"csp_1_1","EMP2-3",60
1567,"csp_6_2","EMP1-6",60
1569,"csp_4_3","EMP1-6",60
1586,"csp_6_2","EMP1-6",62
1589,"csp_4_6","EMP1-6",60
1593,"csp_5_2","EMP1-6",60
1594,"csp_6_7","EMP1-6",65
1603,"csp_5_6","EMP1-6",60
1606,"csp_6_3","EMP1-2",59
1610,"csp_5_6","EMP1-6",65
1615,"csp_1_2","EMP2-1",56
1651,"csp_6_8","EMP1-6",60
1659,"csp_5_6","EMP1-6",60
1661,"csp_4_7","EMP1-6",63
1675,"csp_4_7","EMP2-1",62
1679,"csp_6_7","EMP1-6",60
1697,"csp_4_2","EMP1-6",60
1701,"csp_5_2","EMP1-6",57
1704,"csp_5_4","EMP1-6",60
1706,"csp_4_6","EMP1-6",60
1716,"csp_2_2","EMP2-1",60
1718,"csp_5_2","EMP1-6",55
1740,"csp_3_1","EMP2-1",56
1743,"csp_5_2","EMP1-6",60
1744,"csp_5_2","EMP1-5",60
1749,"csp_6_8","EMP1-6",60
1759,"csp_5_6","EMP1-6",57
1771,"csp_1_1","EMP2-1",60
1776,"csp_6_4","EMP1-6",60
1802,"csp_2_1","EMP2-1",65
1833,"csp_4_6","EMP1-6",60
1835,"csp_3_7","EMP1-6",60
1837,"csp_4_3","EMP1-6",58
1839,"csp_5_4","EMP1-5",65
1842,"csp_5_2","EMP1-6",60
1844,"csp_6_8","EMP1-6",60
1845,"csp_5_2","EMP1-6",65
1855,"csp_6_3","EMP1-6",60
1866,"csp_5_2","EMP1-5",60
1870,"csp_3_4","EMP1-6",61
1871,"csp_3_8","EMP1-6",55
1883,"csp_6_5","EMP1-6",60
1887,"csp_5_5","EMP1-6",60
1889,"csp_1_1","EMP2-1",60
1890,"csp_5_6","EMP1-6",56
1896,"csp_5_2","EMP1-6",60
1904,"csp_5_2","EMP1-6",65
1909,"csp_4_5","EMP1-6",65
1912,"csp_4_6","EMP1-2",64
1918,"csp_5_2","EMP1-6",60
1921,"csp_5_4","EMP1-6",59
1922,"csp_5_3","EMP1-6",57
1939,"csp_1_3","EMP2-2",60
1942,"csp_4_7","EMP1-5",57
1959,"csp_6_7","EMP1-6",64
1966,"csp_4_6","EMP1-6",65
1970,"csp_5_5","EMP1-6",65
1972,"csp_4_5","EMP1-6",65
1982,"csp_2_2","EMP2-1",57
1986,"csp_2_1","EMP2-2",60
1988,"csp_5_6","EMP1-5",60
1993,"csp_3_8","EMP1-6",60
1997,"csp_5_2","EMP1-6",53
2000,"csp_6_3","EMP1-6",60
2002,"csp_4_3","EMP1-6",60
2003,"csp_6_2","EMP1-6",60
2014,"csp_5_5","EMP1-6",60
2015,"csp_5_2","EMP1-6",60
2022,"csp_4_6","EMP1-6",63
2029,"csp_5_2","EMP1-6",60
2035,"csp_5_2","EMP1-6",55
2037,"csp_5_4","EMP1-6",65
2043,"csp_1_1","EMP2-2",59
2057,"csp_1_1","EMP2-1",60
2065,"csp_1_1","EMP2-1",65
2076,"csp_5_6","EMP1-6",55
2099,"csp_4_2","EMP1-6",60
2101,"csp_5_2","EMP1-6",54
2110,"csp_6_5","EMP1-6",54
2115,"csp_4_8","EMP1-6",60
2119,"csp_4_5","EMP1-6",64
2131,"csp_5_2","EMP1-6",60
2135,"csp_5_2","EMP1-6",64
2138,"csp_3_3","EMP1-6",63
2139,"csp_4_6","EMP1-6",60
2146,"csp_5_6","EMP1-6",60
2154,"csp_5_6","EMP1-6",61
2155,"csp_6_2","EMP1-6",60
2158,"csp_2_1","EMP2-1",60
2159,"csp_4_5","EMP1-6",60
2160,"csp_2_1","EMP2-1",60
2163,"csp_6_7","EMP1-5",60
2176,"csp_6_3","EMP1-6",61
2180,"csp_5_6","EMP1-5",60
2185,"csp_5_2","EMP1-6",62
2187,"csp_2_2","EMP2-1",55
2196,"csp_6_2","EMP1-6",64
2201,"csp_4_3","EMP1-5",64
2204,"csp_5_2","EMP1-6",60
2209,"csp_5_2","EMP1-6",60
2220,"csp_4_2","EMP2-1",66
2222,"csp_5_2","EMP1-3",65
2224,"csp_5_6","EMP1-6",60
2231,"csp_5_5","EMP1-6",64
2242,"csp_5_6","EMP1-6",60
2245,"csp_3_5","EMP1-5",65
2246,"csp_3_7","EMP1-6",62
2248,"csp_5_6","EMP1-6",64
2254,"csp_2_1","EMP2-1",56
2259,"csp_5_6","EMP1-6",60
2260,"csp_5_4","EMP1-6",60
2263,"csp_1_1","EMP2-1",56
2265,"csp_4_6","EMP1-6",55
2276,"csp_4_6","EMP1-6",65
2279,"csp_4_7","EMP1-6",55
2282,"csp_5_2","EMP1-6",60
2285,"csp_6_8","EMP1-6",65
2301,"csp_4_5","EMP1-6",59
2305,"csp_3_1","EMP2-1",60
2308,"csp_2_1","EMP2-2",60
2321,"csp_6_7","EMP1-6",60
2322,"csp_6_7","EMP1-6",64
2325,"csp_2_1","EMP2-1",60
2328,"csp_1_1","EMP2-1",59
2330,"csp_2_1","EMP2-1",60
2339,"csp_4_6","EMP1-6",60
2352,"csp_4_8","EMP1-6",54
2357,"csp_2_2","EMP2-1",65
2370,"csp_5_2","EMP1-3",57
2379,"csp_5_5","EMP1-6",59
2383,"csp_5_4","EMP1-6",60
2385,"csp_5_2","EMP1-6",65
2395,"csp_2_2","EMP2-1",60
2398,"csp_5_6","EMP1-6",60
2400,"csp_1_1","EMP2-1",65
2403,"csp_2_2","EMP2-1",60
2412,"csp_5_4","EMP1-6",60
2413,"csp_6_4","EMP1-6",56
2419,"csp_3_1","EMP2-1",60
2422,"csp_6_2","EMP1-6",54
2434,"csp_2_2","EMP2-2",60
2440,"csp_1_1","EMP2-1",57
2443,"csp_2_2","EMP2-1",60
2458,"csp_5_4","EMP1-6",60
2474,"csp_5_5","EMP1-6",60
2480,"csp_4_5","EMP1-6",59
2487,"csp_5_4","EMP1-6",61
2490,"csp_2_3","EMP2-2",57
2492,"csp_4_7","EMP1-6",60
2497,"csp_2_2","EMP2-2",57
2501,"csp_4_7","EMP1-6",57
2512,"csp_2_1","EMP2-2",63
2518,"csp_2_2","EMP2-1",65
2520,"csp_6_2","EMP1-6",60
2523,"csp_4_3","EMP2-1",65
2528,"csp_5_2","EMP1-6",60
2532,"csp_3_7","EMP1-6",60
2539,"csp_6_2","EMP1-6",60
2540,"csp_5_2","EMP1-6",60
2544,"csp_5_5","EMP1-5",57
2549,"csp_4_6","EMP1-6",60
2553,"csp_1_1","EMP2-2",62
2555,"csp_5_2","EMP1-6",60
2566,"csp_5_5","EMP1-5",60
2586,"csp_4_6","EMP1-6",60
2588,"csp_4_7","EMP1-6",65
2601,"csp_5_6","EMP1-6",60
2604,"csp_4_5","EMP1-6",60
2608,"csp_2_1","EMP2-1",60
2609,"csp_6_3","EMP1-5",60
2610,"csp_4_8","EMP1-6",56
2623,"csp_4_3","EMP1-6",60
2630,"csp_6_8","EMP1-6",60
2633,"csp_5_2","EMP1-6",60
2647,"csp_3_4","EMP1-6",60
2651,"csp_1_3","EMP2-2",65
2666,"csp_5_2","EMP1-6",60
2668,"csp_3_5","EMP1-6",52
2669,"csp_4_6","EMP1-6",60
2671,"csp_2_1","EMP2-2",65
2690,"csp_2_3","EMP2-2",55
2694,"csp_5_3","EMP1-6",60
2699,"csp_6_2","EMP1-6",60
2710,"csp_5_6","EMP1-6",60
2713,"csp_5_6","EMP1-6",60
2720,"csp_2_2","EMP2-2",60
2725,"csp_5_2","EMP1-6",60
2757,"csp_5_4","EMP1-6",63
2762,"csp_6_2","EMP1-6",60
2765,"csp_6_8","EMP1-6",63
2770,"csp_3_4","EMP1-6",60
2778,"csp_4_6","EMP1-6",60
2781,"csp_6_7","EMP1-2",56
2782,"csp_4_6","EMP1-6",60
2789,"csp_3_4","EMP1-6",61
2802,"csp_6_2","EMP1-6",58
2811,"csp_4_3","EMP2-1",55
2815,"csp_6_3","EMP1-6",57
2822,"csp_6_8","EMP1-6",60
2835,"csp_6_8","EMP1-6",64
2838,"csp_5_2","EMP1-6",60
2839,"csp_6_7","EMP1-6",63
2856,"csp_4_6","EMP1-6",60
2858,"csp_3_7","EMP1-6",65
2862,"csp_6_8","EMP1-6",51
2863,"csp_5_6","EMP1-5",61
2865,"csp_3_1","EMP2-1",62
2871,"csp_5_2","EMP1-6",55
2874,"csp_2_3","EMP2-2",59
2888,"csp_6_3","EMP1-6",60
2890,"csp_4_7","EMP1-6",63
2896,"csp_5_2","EMP1-6",61
2901,"csp_4_5","EMP1-6",60
2904,"csp_5_2","EMP1-6",60
2907,"csp_2_1","EMP2-1",60
2911,"csp_6_2","EMP1-6",62
2914,"csp_5_4","EMP1-6",61
2917,"csp_3_7","EMP1-6",63
2920,"csp_2_2","EMP2-2",60
2927,"csp_2_2","EMP2-2",60
2932,"csp_3_7","EMP1-6",65
2939,"csp_6_8","EMP1-6",58
2941,"csp_5_5","EMP1-6",56
2947,"csp_4_7","EMP1-6",58
2953,"csp_6_9","EMP1-6",60
2955,"csp_6_2","EMP1-6",65
2964,"csp_5_6","EMP1-5",60
2971,"csp_2_1","EMP2-2",56
2973,"csp_5_4","EMP1-6",60
2974,"csp_4_5","EMP1-6",60
2976,"csp_4_3","EMP1-6",60
2993,"csp_6_9","EMP1-6",65
2997,"csp_3_7","EMP1-6",64
3000,"csp_5_4","EMP1-6",60
3001,"csp_6_8","EMP1-6",63
3007,"csp_4_8","EMP1-6",60
3014,"csp_3_3","EMP1-6",62
3015,"csp_2_2","EMP2-1",58
3018,"csp_2_1","EMP2-1",60
3019,"csp_5_2","EMP1-6",60
3030,"csp_5_6","EMP1-6",60
3031,"csp_5_2","EMP1-6",60
3038,"csp_2_2","EMP2-1",60
3040,"csp_4_6","EMP1-6",60
3043,"csp_5_6","EMP1-6",60
3044,"csp_4_3","EMP1-6",60
3055,"csp_5_4","EMP1-6",61
3065,"csp_5_6","EMP1-6",60
3076,"csp_4_2","EMP1-6",65
3078,"csp_6_4","EMP1-6",60
3080,"csp_4_8","EMP1-6",60
3092,"csp_4_2","EMP1-6",62
3107,"csp_6_5","EMP1-6",61
3113,"csp_4_6","EMP1-6",60
3115,"csp_5_2","EMP1-6",60
3116,"csp_4_3","EMP2-1",57
3117,"csp_4_3","EMP1-6",60
3122,"csp_3_7","EMP1-6",57
3124,"csp_4_2","EMP1-6",63
3128,"csp_5_6","EMP1-6",60
3144,"csp_6_8","EMP1-6",56
3145,"csp_5_2","EMP1-6",60
3147,"csp_4_7","EMP1-6",60
3153,"csp_3_4","EMP1-6",60
3158,"csp_5_4","EMP1-6",55
3168,"csp_4_6","EMP1-6",62
3170,"csp_6_4","EMP1-6",61
3175,"csp_3_7","EMP1-6",60
3177,"csp_2_1","EMP2-2",62
3178,"csp_5_5","EMP1-5",62
3196,"csp_3_4","EMP1-6",58
3205,"csp_3_4","EMP1-6",65
3207,"csp_5_6","EMP1-6",60
3209,"csp_5_3","EMP1-6",58
3220,"csp_5_2","EMP1-6",60
3221,"csp_5_6","EMP1-6",65
3232,"csp_6_3","EMP1-6",62
3236,"csp_6_7","EMP1-6",65
3237,"csp_4_6","EMP1-3",60
3239,"csp_6_2","EMP1-6",60
3243,"csp_5_6","EMP1-6",60
3244,"csp_5_2","EMP1-6",64
3254,"csp_4_5","EMP1-6",60
3268,"csp_4_5","EMP1-6",60
3279,"csp_4_2","EMP1-6",63
3281,"csp_4_5","EMP1-6",60
3282,"csp_4_8","EMP1-6",56
3283,"csp_4_6","EMP1-6",60
3286,"csp_5_4","EMP1-6",58
3287,"csp_5_4","EMP1-6",60
3290,"csp_5_6","EMP1-6",65
3301,"csp_3_1","EMP2-2",66
3313,"csp_2_1","EMP2-1",59
3323,"csp_2_1","EMP2-2",65
3327,"csp_4_2","EMP1-6",65
3329,"csp_2_2","EMP2-1",60
3334,"csp_5_6","EMP1-6",65
3341,"csp_4_3","EMP2-1",60
3343,"csp_6_8","EMP1-6",57
3351,"csp_5_6","EMP1-6",61
3364,"csp_2_1","EMP2-1",56
3368,"csp_1_3","EMP2-2",63
3377,"csp_5_5","EMP1-6",60
3386,"csp_5_2","EMP1-6",64
3396,"csp_6_3","EMP1-6",60
3412,"csp_6_8","EMP1-6",60
3415,"csp_5_2","EMP1-6",63
3416,"csp_6_8","EMP1-6",60
3422,"csp_5_6","EMP1-5",60
3441,"csp_6_2","EMP1-3",60
3447,"csp_6_3","EMP1-6",60
3453,"csp_5_6","EMP1-6",60
3467,"csp_4_3","EMP1-6",60
3469,"csp_3_8","EMP1-6",65
3479,"csp_5_2","EMP1-6",60
3480,"csp_6_8","EMP1-6",60
3485,"csp_2_2","EMP2-1",63
3497,"csp_4_7","EMP1-6",59
3507,"csp_5_6","EMP1-6",61
3517,"csp_3_8","EMP1-6",60
3523,"csp_2_2","EMP2-2",61
3545,"csp_5_2","EMP1-6",57
3551,"csp_2_1","EMP2-2",60
3553,"csp_4_2","EMP1-6",63
3562,"csp_6_2","EMP1-6",65
3568,"csp_5_2","EMP1-6",55
3604,"csp_6_7","EMP1-6",60
3613,"csp_2_1","EMP2-1",60
3638,"csp_1_3","EMP2-2",60
3645,"csp_4_6","EMP1-6",60
3665,"csp_4_7","EMP1-6",67
3669,"csp_2_2","EMP2-1",60
3681,"csp_5_4","EMP1-6",58
3688,"csp_4_3","EMP1-6",55
3698,"csp_5_6","EMP1-6",58
3704,"csp_2_2","EMP2-2",56
3713,"csp_5_6","EMP1-6",62
3717,"csp_3_7","EMP1-6",60
3735,"csp_5_5","EMP1-6",60
3737,"csp_3_5","EMP2-1",60
3740,"csp_4_3","EMP1-6",65
3742,"csp_4_6","EMP1-6",60
3743,"csp_6_2","EMP1-6",60
3745,"csp_4_8","EMP1-6",53
3752,"csp_4_8","EMP1-6",60
3755,"csp_5_6","EMP1-6",60
3756,"csp_3_1","EMP2-1",60
3766,"csp_5_3","EMP1-6",61
3767,"csp_2_1","EMP2-2",60
3790,"csp_3_4","EMP1-6",60
3791,"csp_3_5","EMP1-6",60
3794,"csp_5_4","EMP1-6",60
3801,"csp_5_2","EMP1-6",60
3803,"csp_4_5","EMP1-6",60
3812,"csp_2_2","EMP2-2",59
3813,"csp_2_3","EMP2-2",62
3814,"csp_6_2","EMP1-6",65
3822,"csp_5_3","EMP1-6",60
3830,"csp_2_2","EMP2-1",56
3834,"csp_5_6","EMP1-6",60
3841,"csp_4_5","EMP1-6",60
3843,"csp_2_1","EMP2-1",58
3895,"csp_5_4","EMP1-6",60
3902,"csp_4_6","EMP1-6",60
3904,"csp_5_6","EMP1-6",60
3905,"csp_5_4","EMP1-6",60
3912,"csp_3_7","EMP1-6",56
3913,"csp_3_3","EMP1-6",60
3922,"csp_5_2","EMP1-6",60
3929,"csp_4_5","EMP1-6",61
3930,"csp_5_2","EMP1-6",65
3934,"csp_4_3","EMP1-6",64
3941,"csp_4_7","EMP1-6",64
3948,"csp_2_2","EMP2-1",58
3949,"csp_6_7","EMP1-2",60
3980,"csp_5_4","EMP1-6",65
3991,"csp_4_7","EMP1-6",60
4008,"csp_4_7","EMP1-6",60
4009,"csp_4_6","EMP1-6",60
4012,"csp_4_3","EMP1-6",63
4015,"csp_4_3","EMP1-6",60
4016,"csp_1_1","EMP2-1",63
4018,"csp_2_3","EMP2-2",57
4021,"csp_4_3","EMP1-6",57
4024,"csp_6_3","EMP1-6",51
4026,"csp_5_2","EMP1-6",65
4028,"csp_4_2","EMP1-6",60
4032,"csp_2_1","EMP2-2",65
4038,"csp_3_7","EMP1-6",60
4039,"csp_6_7","EMP1-6",60
4047,"csp_6_2","EMP1-6",58
4050,"csp_5_2","EMP1-6",58
4054,"csp_5_2","EMP1-6",58
4062,"csp_5_5","EMP1-6",56
4064,"csp_3_8","EMP1-6",60
4081,"csp_5_2","EMP1-6",60
4085,"csp_5_3","EMP1-6",62
4086,"csp_3_1","EMP2-2",60
4099,"csp_6_4","EMP1-6",55
4103,"csp_6_9","EMP1-5",60
4110,"csp_5_6","EMP1-6",63
4119,"csp_5_2","EMP1-6",56
4120,"csp_3_7","EMP1-6",64
4122,"csp_5_2","EMP1-6",65
4156,"csp_5_2","EMP1-6",55
4162,"csp_5_2","EMP1-6",59
4166,"csp_4_8","EMP1-6",60
4168,"csp_5_2","EMP1-6",60
4170,"csp_2_1","EMP2-1",65
4171,"csp_3_3","EMP1-6",60
4179,"csp_4_6","EMP2-1",57
4188,"csp_6_4","EMP1-6",60
4189,"csp_4_3","EMP2-1",65
4193,"csp_5_4","EMP1-6",54
4198,"csp_4_2","EMP2-1",60
4202,"csp_2_2","EMP2-2",60
4208,"csp_5_4","EMP1-6",60
4216,"csp_2_2","EMP2-3",57
4219,"csp_6_5","EMP1-6",60
4220,"csp_1_1","EMP2-2",54
4226,"csp_4_3","EMP1-6",66
4229,"csp_3_3","EMP1-6",60
4231,"csp_5_6","EMP1-5",57
4235,"csp_5_6","EMP1-6",55
4236,"csp_5_6","EMP1-6",65
4244,"csp_6_8","EMP1-6",60
4246,"csp_5_4","EMP1-6",55
4259,"csp_4_7","EMP2-1",60
4270,"csp_5_2","EMP1-5",60
4272,"csp_5_2","EMP1-6",62
4279,"csp_5_4","EMP1-6",60
4291,"csp_2_2","EMP2-1",60
4307,"csp_5_4","EMP1-6",60
4308,"csp_4_5","EMP1-6",60
4310,"csp_2_1","EMP2-1",60
4333,"csp_2_2","EMP2-1",60
4334,"csp_6_2","EMP1-6",65
4344,"csp_5_2","EMP1-6",64
4348,"csp_4_5","EMP1-6",60
4349,"csp_4_7","EMP1-6",60
4351,"csp_6_2","EMP1-6",60
4357,"csp_3_4","EMP1-6",60
4378,"csp_4_6","EMP1-6",65
4384,"csp_5_2","EMP1-6",60
4389,"csp_2_1","EMP2-2",64
4403,"csp_3_1","EMP2-1",58
4414,"csp_4_2","EMP1-6",60
4419,"csp_3_1","EMP2-2",65
4421,"csp_3_3","EMP1-6",64
4426,"csp_4_7","EMP1-6",62
4428,"csp_5_4","EMP1-5",60
4431,"csp_5_2","EMP1-5",61
4443,"csp_5_4","EMP1-6",60
4458,"csp_5_2","EMP1-6",60
4462,"csp_6_2","EMP1-6",60
4470,"csp_2_2","EMP2-1",57
4483,"csp_6_8","EMP1-6",60
4487,"csp_5_2","EMP1-6",60
4494,"csp_4_7","EMP1-6",60
4504,"csp_6_7","EMP1-6",64
4511,"csp_5_4","EMP1-6",60
4521,"csp_5_2","EMP1-6",56
4536,"csp_5_6","EMP1-6",60
4540,"csp_5_4","EMP1-6",60
4546,"csp_4_3","EMP1-6",59
4550,"csp_5_6","EMP1-6",62
4559,"csp_2_2","EMP2-2",60
4561,"csp_3_3","EMP1-6",57
4563,"csp_6_8","EMP1-6",60
4582,"csp_6_5","EMP1-6",64
4588,"csp_4_2","EMP2-1",60
4599,"csp_4_5","EMP1-6",60
4610,"csp_6_7","EMP1-6",60
4612,"csp_4_6","EMP1-6",57
4613,"csp_2_1","EMP2-1",61
4615,"csp_6_2","EMP1-6",61
4628,"csp_5_6","EMP1-6",65
4659,"csp_5_6","EMP1-6",60
4663,"csp_2_2","EMP2-2",54
4665,"csp_1_1","EMP2-1",64
4668,"csp_6_7","EMP1-6",60
4669,"csp_2_2","EMP2-1",62
4672,"csp_6_8","EMP1-6",65
4677,"csp_3_7","EMP1-6",59
4678,"csp_6_8","EMP1-3",55
4681,"csp_5_5","EMP1-6",60
4684,"csp_6_4","EMP1-6",60
4689,"csp_1_1","EMP2-2",57
4692,"csp_5_6","EMP1-6",63
4696,"csp_5_2","EMP1-6",56
4700,"csp_2_1","EMP2-1",60
4713,"csp_4_6","EMP1-6",60
4714,"csp_6_3","EMP1-6",59
4715,"csp_6_7","EMP1-6",60
4717,"csp_6_4","EMP1-6",60
4724,"csp_5_4","EMP1-6",60
4727,"csp_3_7","EMP1-6",65
4735,"csp_4_8","EMP1-6",60
